c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
	20230214			2023	2	14	2023FA0000069    	1	20230203	G	7400	M3163	IMPULSE COUPLING	CHAMPION    							LYC   	IO360 	IO360L2A    		EA  						LOOSE           	D				O				OTHER                   				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	894KC	1480 			21040181		RL3101451E			FOUND MAGNETO MODEL 4371 IMPULSE COUPLING P/N M3163 TO HAVE LOOSE RIVETS. REPLACED WITH NEW.											3	O			1E10				 
	20230214		SO  	2023	2	14	2023FA0000075    	1	20230112	G	5713	62086002	STIFFENER       	PIPER       		PIPER 	PA28  	PA28181     	7102807	SO  										ZONE 600	CRACKED         	D				O				OTHER                   				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	164G 	1484 				2881457				RIGHT WING BOTTOM INBOARD FORWARD SKIN, AFT STIFFENER FOUND CRACKED. REPLACED STIFFENER WITH NEW.									1 	3O				2A13    					 
	20230214		SO  	2023	2	14	2023FA0000076    	1	20230117	G	5713	62086003	STIFFENER       	PIPER       		PIPER 	PA28  	PA28181     	7102807	SO  										ZONE 600	CRACKED         	D				O				OTHER                   				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	164G 	6249 				2843754				RIGHT WING BOTTOM INBOARD FORWARD SKIN, FORWARD STIFFENER FOUND CRACKED. REPLACED STIFFENER WITH NEW.									1 	3O				2A13    					 
	20230214		SO  	2023	2	14	2023FA0000077    	1	20230131	G	5713	62086003	STIFFENER       	PIPER       		PIPER 	PA28  	PA28181     	7102807	SO  										ZONE 600	CRACKED         	D				O				OTHER                   				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	328G 	2673 				2881115				RIGHT WING BOTTOM INBOARD FORWARD SKIN, FORWARD STIFFENER FOUND CRACKED. REPLACED STIFFENER WITH NEW.									1 	3O				2A13    					 
	20230214		NM  	2023	2	14	2023FA0000078    	1	20230208	G	5200	M818241	WIRE SPLICE     			BOMBDR	DHC8  	DHC8400     		NM  	PWC   	150   	PW150A      		EA  					ZONE 200	FAILED          	A			WMAA	A				UNSCHED LANDING         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	99	881WM	1    	1    		NSN	4216				DURING A SCHEDULED FLIGHT FROM PHL TO YTZ, FUSELAGE DOOR WARNING LIGHT ILLUMINATED UPON REACHING FL240.  DOORS PAGE SHOW	ED IT TO BE THE AFT BAGGAGE DOOR.  PRESSURIZATION REMAINED NORMAL.  AIRCRAFT RETURNED TO PHL.                           	                                                                                  -NOTE-                              	                                                                                                                        	                                                                                                                        	   FAILED PART AND COMPONENT TIMES AND CYCLES ARE UNKNOWN. THE NUMBER 1 WAS USED FOR TIMES AND CYCLES IN LIEU OF KNOWN N				2 	4T	4	T	RT	A13NM   	E00062EN				 
	20230214		CE  	2023	2	14	2023FA0000079    	1	20230209	G	3040	99100491	WINDSHIELD      			CESSNA	425   	425         	2076018	CE  	PWA   	PT6   	PT6A135A    	52260	NM  	MCAULY	4HFR34	4HFR34C762  	NE  	FORWARD FUSELAGE	CRACKED         	C				K				NONE                    				O			OTHER                     			DE	DESCENT        	1			SW	99	425PJ	8542 				0157	PZ1284			WINDSHIELD OUTER LAYER CRACKED IN FLIGHT									2 	3T	4	T	RT	A7CE    	E4EA	6	C	3PNE	 
	20230214		CE  	2023	2	14	2023FA0000080    	1	20230201	G	5100		UNKNOWN         		MA4SPA      	CESSNA	172   	172N        	2072434	CE  											UNKNOWN         	H				O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			GL	13	75706				CK814895	17267888				AIRPLANE WAS FLYING AND THROTTLE CONTROL BECAME STUCK AT 2100 RPM, AIRPLANE WAS LANDED SAFELY. DURING INSPECTION OF THRO	TTLE AND CARBURETOR, THROTTLE WAS DISCONNECTED AND THROTTLE SHAFT WAS STUCK. REMOVED CARBURETOR FROM ENGINE AND ACCELERA	TING PUMP DISCHARGE NOZZLE FELL OUT OF TOP OF CARB. NOZZLE SEEMS TO HAVE COME OUT AND WENT UP AND JAMMED IN THROTTLE VAL	VE PLATE AND STUCK THROTTLE IN ONE POSITION AND THROTTLE CONTROL COULD NOT BE MOVED IN FLIGHT. CARBURETOR HAD 409.8 HRS.	 ON IT SINCE OVERHAUL.					1 	3O			NT	3A12    					 
	20230214		SO  	2023	2	14	2023FA0000081    	1	20230210	G	2400	5284	OUTLET          	GULSTM      	NA          	GULSTM	G1159 	GIV         	3980115	SO  	RROYCE	TAY   	TAY6118     		EU  					ZONE 100	BURNED          	E				D	B	H		RETURN TO BLOCK         	EMER. DESCENT           	DEACTIVATE SYST/CIRCUITS		B			SMOKE/FUMES/ODORS/SPARKS  			CL	CLIMB          	1			SW	99	77FK 	9423 	9423 		NSN	1357	116833	216834		SMOKE IN THE CABIN WAS REPORTED.TO PIC AND HE COULD SEE AND SMELL IT. EMERGENCY WAS DECLARED AND AIRCRAFT RETURNED TO PO	INT OF DEPARTURE. CABIN CREW AND PASSENGERS ALL REPORTED THAT WATER WAS SPILLED ON OR NEAR THE ELECTRICAL OUTLET AND SMO	KE WAS SEEN COMING OUT OF IT.							2 	4F	4	F	RT	A12EA   	E25NE				 
	20230215		SW  	2023	2	15	2023FA0000082    	1	20230211	G	5100		UNKNOWN         	CONT        	TSIO360GBCLB	MOONEY	M20   	M20K        	5870220	SW  											UNKNOWN         	C				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	9554U				309510	250492				SUBJECT: REPETITIVE VIOLATIONS OF PART 43: SIGNING TOURISM BY A&P MECHANIC DESIGNATED TO ACT ACCORDING TO BUT NOT COMPLY	ING WITH PART 43.3 D.MAJOR DAMAGE ON ENGINE DURING REINSTALLATION IN GERMANY AFTER TOTAL OVERHAUL IN USA BY NEGLEGENCE O	F MANUFACTURER?S INSTUCTION HANDBOOKS, REQUIRING RESENDING AND MAJOR REPAIR AT FAIRHOPE BY TELEDYNE CONINENTAL AT 18 HRS	 TT SINCE OVERHAUL. COMPLETE DAMAGE BY RECKLESS INSTALLATION OF ENGINE MONITOR G3/INSIGHT AFTER 12 HRS. ANNULMENT OF WAR	RANTIES OF ENGINE OVERHAULER G&N/INDIANA, INSIGHT AVIONICS/BUFFALO, AND HARTZELL. RELEASE FOR SERVICE DESPITE RECURRENTL	Y EXCEEDING ENGINE LIMITS (OVERBOOSTING, OVERSPEEDING, OVERHEATING OF NEW ENGINE), POTENTIALLY DEADLY MISCALIBRATION OF 				1 	3O				2A3     					 
	20230215			2023	2	15	2023FA0000083    	1	20230212	G	5100		UNKNOWN         																		UNKNOWN         	H				O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			SW	99										WARNING LIGHT ATOP CELL TOWER AT LINGER LODGE ROAD & I-75 NOT ROTATING AS OF 8:00AM 2/12/23.  BRADENTON FL 34232																			 
	20230215		NE  	2023	2	15	2023FA0000085    	1	20230210	G	2400	7655000902101	CONTACTOR       			SKRSKY	S76   	S76C        	8143008	NE  											INOPERATIVE     	E				D				RETURN TO BLOCK         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	03	714P 					760719				DURING CRUISE IN IMC NO 2 DC GENERATOR FAILED AND DID NOT RESET AFTER EMERGENCY PROCEDURE WAS PERFORMED.									2 	3U			NC	H1NE    					 
	20230215		EA  	2023	2	15	2023FA0000086    	2	20230124	G	7261		OIL SYSTEM      			CESSNA	172   	172M        	2072418	CE  	LYC   	O320  	O320*       	41508	EA  						LEAKING         	G				A				UNSCHED LANDING         				B			SMOKE/FUMES/ODORS/SPARKS  			CR	CRUISE         	1			SW	99	5171H					17265358				N5171H, C172, DECLARED AN EMERGENCY DUE TO SMOKE IN THE COCKPIT AND LANDED WITHOUT INCIDENT. 01/24/2023 1705Z///// MAINT	ENANCE FOUND THAT OIL CAME OUT OF THE OIL LINE GOING TO THE OIL PRESSURE GAGE AND WENT ONTO THE EXHAUST PIPE CAUSING THE	 SMOKE.							1 	3O	3	O	NT	3A12    	E274				 
	20230216		CE  	2023	2	16	2023FA0000087    	1	20230214	G	2430	S35979	SENSOR          	CESSNA      		CESSNA	650   	650         	2076802	CE  										ZONE 100	OPEN            	E				C				ABORTED TAKEOFF         				J			WARNING INDICATION        			TO	TAKEOFF        	1			SW	99	308MR	291  	291  		70014830	650153				ON TAKEOFF ROLL OUT AT LIT NUMBER 2 BATTERY OVERTEMPERATURE ANNUNCIATOR ILLUMINATE . FLIGHT CREW NOTIFY TOWER ABORTED TA	KEOFF WHILE TAXI BACK TO FBO CREW CHECKED BATTERY TEMPERATURE GAUGE READING AND TEMPERATURE WAS NORMAL. . INSPECTED BATT	ERY FOUND NOT OVERHEATED NUMBER 2 BATTERY SYSTEM WAS MEL I/A/W CHOICE AVIATION APPROVED MEL 24-32-01  DISCONNECTED #2 BA	TTERY AND BAG SECURE CONNECTOR.						2 	4F				A9NM    					 
	20230217			2023	2	17	2023FA0000088    	4	20230216	G	2210	660821716	PITCH CONTROL   			LEAR  	55    	55LEAR      	5170702	CE  	GARRTT	TFE731	TFE7313     	01518	WP  						FAILED          	E				K				NONE                    				F			FLT CONT AFFECTED         			DE	DESCENT        	1			SW	99	55AR 					55105				AFTER INITIATION OF DESCENT THE AUTOPILOT KICKED OFF.   CREW NOTICED PITCH TRIM WAS INOPERATIVE.   CHECKLIST WAS FOLLOWE	D AND FUNCTIONALITY OF PITCH TRIM DID NOT RETURN.    SAFE LANDING WAS ACCOMPLISHED AT THE INTENDED POINT OF LANDING.								2 	4F	4	F		A10CE   	E6WE				 
	20230221		WP  	2023	2	21	2023FA0000089    	1	20230217	G	5100	A1593	BEARING         	ROBSIN      		ROBSIN	R22   	R22         	7640102	WP  										MAIN ROTOR BLADE	BRINELLED       	B				O				OTHER                   				E			VIBRATION/BUFFET          			HO	HOVERING       	1			SW	99	142VA	752  			5923	3771				THIS IS IN RESPONSE TO SIAB 2023-01. MR SPINDLE BEARINGS WERE FOUND TO HAVE SIGNS OF BRINELLING AFTER ONLY 750 HOURS OF 	SERVICE. SINCE THERE IS ONLY ONE SPOT FOR PART AND SERIAL NUMBERS HERE IS THE OTHER SET OF BEARINGS INFORMATION; BEARING	S: PN: A159-3 SN: SNC-0499, INSTALLED ON MRB PN: A016-6 SN: 529, BOTH BEARINGS AND MR BLADES HAVE SAME TTIS. THIS IS THE	 SECOND TIME SINCE THE BLADES WERE INSTALLED THAT THE BEARINGS HAVE DONE THIS. THE FIRST SET ONLY LASTED 200 HOURS. GRAN	TED THE SHIP IS PRIMARILY USED FOR FLIGHT TRAINING BUT OUR PILOTS HAVE HAD A GOOD TRACK RECORD OF TELLING US WHEN AN OVE	RSPEED OCCURS. EVEN IF AN OVERSPEED OCCURS IT TAKES A LOT TO DAMAGE THOSE BEARINGS. USUALLY AN OVERSPEED OF ABOUT 112-11				1 	3O				H10WE   					 
	20230221			2023	2	21	2023FA0000091    	1	20230217	G	5510	350A23404227	BEARING         																	TAILBOOM	DETACHED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	94AS 					7507				AFTER REMOVAL OF STABILIZER, FOUND 2EA SCREWS SHEARED ON UPPER RH FITTING. REFERENCE EC130T2 IPC 53-31-10-03.																			 
	20230221		SO  	2023	2	21	2023FA0000092    	1	20230217	G	2821	6347900	FUEL BOWL       	PIPER       	NONE        	PIPER 	PA28  	PA28161     	7102803	SO  	LYC   	O320  	O320D3G     	41508	EA  	SNSNCH	74DM	M74DM       	EA  	ZONE 100	COCKED          	D				B				EMER. DESCENT           				R			PARTIAL RPM/PWR LOSS      			CR	CRUISE         	1			GL	03	9250C	11482	49   		NONSERIALIZE	287816451	L772439A	A59209		DISCREPANCY: GASCOLATOR FUEL BOWL FOUND TO BE COCKED OUTBOARD AND RETAINING/TENSION NUT ASSY COCKED INBOARD UPON INITIAL	 INSPECTION, WITH OUTBOARD RETAINING BAIL DISLODGED FROM GASCOLATOR. SAFETY WIRE ON RETAINING/TENSION NUT CORRECT AND IN	TACT. LOSS OF DIRECTED TENSION FROM BOTTOM OF FUEL BOWL CAUSED LOSS OF SEAL BETWEEN FUEL BOWL LIP AND FUEL BOWL GASKET, 	RESULTING IN MAJOR FUEL SYSTEM LEAK AND LOSS OF ENGINE FUEL PRESSURE LEADING TO ENGINE STARVATION AND INTERMITTENT FAILU	RE. CORRECTIVE ACTIONS: FUEL BOWL AND RETAINING/TENSION NUT ASSY REALIGNED; RETAINING BAIL REINSERTED INTO GASCOLATOR; R	ETAINING/TENSION NUT SAFETIED TO RETAINING BAIL; RETAINING BAILS BOTH SAFETIED TOGETHER AND TO TOP OF GASCOLATOR. AIRCRA				1 	3O	3	O		2A13    	E274	5	N	P88614	 
	20230221		CE  	2023	2	21	2023FA0000095    	1	20230213	G	7400	4250	MAGNETO         		4250        	BEECH 	23    	C23         	1151242	CE  										ENGINE	DAMAGED         	B				A				UNSCHED LANDING         				F			FLT CONT AFFECTED         			CR	CRUISE         	1			SW	99	6632 		2    		88010118	M2188				FOLLOWING A CUSTOMER COMPLAINT ON MONDAY 13/2/23 OF A MAGNETO FAILURE AND EMERGENCY LANDING AT SLEAP AIRFIELD.STRIP AN	D INSPECT CARRIED OUT 16/2/23 ACCOMPANIED BY NAE QUALITY MANAGER, INITIAL EXTERNAL INSPECTION SHOWS ROTOR SHAFT TO BE BE	NT AND SEIZED, MARKS AROUND OUTER EDGE OF DRIVE GEAR CONSISTENT WITH BEING IN MESH WITH IDLER GEARS ON SEIZURE, OTHER MA	RKS ON THE END OF THE GEAR IN A DIRECTION FROM CENTRE TO OUTER EDGE ON GEAR LOOK TO SHOW EVIDENCE OF EXTERNAL IMPACT FRO	M DROPPAGE OR ROUGH HANDLING.INTERNALLY THE LOWER BEARING (ENGINE END) HAS OVER HEATED AND SEIZED OVERHEATING THE REST	 OF THE ROTOR TO A POINT OF MELTING PARTS OF THE ROTOR GEAR AND DISTRIBUTOR BLOCK IN THE PROCESS, ROTOR HAS DAMAGED THRO				1 	3O				A1CE    					 
	20230222		EA  	2023	2	22	2023FA0000096    	2	20230213	G	7414	4250	MAGNETO         			BEECH 	23    	C23         	1151242	CE  	LYC   	O360  	O360A4K     	41514	EA  	SNSNCH	76E	76EM8       	EA  	ENGINE	DESTROYED       	P				A				UNSCHED LANDING         				R	O		PARTIAL RPM/PWR LOSS      	OTHER                     		CR	CRUISE         	1			SW	99	6632L	538  	2    			M2188	L2645436A	19120K		BOTH MAGNETOS WERE REMOVED AS PART OF THE ANNUAL INSPECTION AND SENT TO NORVIC AERO ENGINES LTD (FAA APPROVAL 33NY343C) 	FOR THEIR 500 HOUR INSPECTION. THE MAGNETOS WERE RETURNED WITH 8130 PAPERWORK, RE-INSTALLED AND FOLLOWING COMPLETION OF 	THE ANNUAL INSPECTION BY THE IA, THE AIRCRAFT WAS RELEASED TO SERVICE. THIRTY MINUTES INTO THE SECOND 'POST ANNUAL' FLIG	HT THE RH MAGNETO FAILED CATASTROPHICALLY (A LITTLE UNDER TWO AND A HALF HOURS AFTER INSPECTION). INITIAL EVIDENCE CASTS	 SIGNIFICANT DOUBT AS TO WHETHER THE MAGNETO WAS INSPECTED IN ACCORDANCE WITH THE MANUFACTURER'S MANUAL - OR EVEN AT ALL	.				1 	3O	3	O		A1CE    	E286	5	N	P4EA	 
	20230223			2023	2	23	2023FA0000097    	4	20230222	G	2562	A3062883	BATTERY PACK    	ARTEX       	A3062880    	CESSNA	172   	172M        	2072418	CE  	LYC   	O360  	O360A4M     	41514	EA  					IN ELT IN TAILBO	MISMANUFACTURED 	C				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	12492				370996006	17262017	RL2959136A			A NEW ARTEX ELT WITH A NEW BATTERY WAS INSTALLED IN THE AIRCRAFT ON 8/16 AND THE BATTERY PACK LABEL HAD A MANUFACTURE DA	TE OF 5/16 AND AN EXPIRATION DATE OF 10/23. UPON ROUTINE INSPECTION ON 2/23, THE BATTERY DID NOT HAVE ENOUGH ENERGY TO P	ASS ITS INTERNAL TEST AND THE ELT INDICATED INSUFFICIENT RF OUTPUT. THE BATTERY WAS REPLACED WITH NEW AND THE ELT PERFOR	MED PROPERLY. THE REMOVED BATTERY VOLTAGE AT REST WAS 5.95 V AND THE NEW BATTERY AT REST WAS 6.60 V. UPON OPENING AND IN	SPECTING THE OLD, USED BATTERY PACK, BOTH INTERNAL CELLS (MANUFACTURED BY ULTRALIFE, P/N U10028-T1, PHONE 315-332-7100) 	WERE FOUND TO BE LABELED WITH AN EXPIRATION DATE OF 5/21. THIS INCONSISTENCY CAN EASILY EXPLAIN THE BATTERY FAILURE UPON				1 	3O	3	O	NT	3A12    	E286				 
	20230224			2023	2	24	2023FA0000098    	2	20230222	G	7200	200151	INTAKE DUCT     	PWC         	PT6A34AG    	DHAV  	DHC3  	DHC3        	2800202	EA  											FROZEN          	E				O				OTHER                   				R			PARTIAL RPM/PWR LOSS      			TO	TAKEOFF        	1			SW	99	92858	388  	388  		PCE50805	8				ENGINE IS A PT6A-34, VASAR STC FOR THE PRATT AND WHITNEY TURBINE. PILOT REPORTED A SURGE IN THE ENGINE DURING TAKEOFF AN	D A POWER LOSS. THE ENGINE RECOVERED QUICKLY AFTER THE POWER LOSS. THE AIRCRAFT WAS BEING RELOCATED FROM NOT FAR FROM TH	E MAIN HANGER, SO THE PILOT WAS ONLY IN THE AIR FOR A VERY SHORT TIME. THE AIRCRAFT WAS PUT IN THE HANGER, AND WE INVEST	IGATED THE DISCREPANCY. LARGE ICE CHUNKS WERE FOUND ON THE LEFT AND RIGHT SIDES OF THE AIR INTAKE AREA AFT OF THE DIVERT	ER AND A SMALL AMOUNT OF ICE WAS ON THE BOTTOM OF THE AIR INTAKE. WE ARE BASED IN KETCHIKAN ALASKA AND THE AIRCRAFT WAS 	OUTSIDE PARKED FOR OVER A WEEK. IT HAS BEEN RAINING HEAVILY AND WATER SITS IN THE LOW SPOT OF THE INTAKE. THE TEMPERATUR				1 	3R				A815    					 
	20230224		CE  	2023	2	24	2023FA0000099    	1	20230224	G	5711		SPAR            			CESSNA	680   	680CE       	2076811	CE  										ZONE 700	CORRODED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	357QS					6800155				CORROSION - EXFOLIATION FOUND IN LOWER SPAR OF LH AND RH MLG WHEEL WELLS									2 	4F			RC	T00012WI					 
	20230224		CE  	2023	2	24	2023FA0000100    	1	20230218	G	5711		SPAR            			CESSNA	680   	680CE       	2076811	CE  										ZONE 700	CORRODED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	397QS					6800144				CORROSION - EXFOLIATION FOUND ON THE WING AFT SPAR IN THE LH AND RH MLG WHEEL WELLS									2 	4F			RC	T00012WI					 
	20230227		GL  	2023	2	27	2023FA0000101    	1	20230226	G	2400	D4125609000	BATTERY PACK    			DIAMON	DA40  	DA40        	2990002	GL  											CORRODED        	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	17	236DS	2722 				40271				DURING ANNUAL FOUND NO VOLTAGE COMING FROM EMERGENCY BATTERY PACK. FOUND 3 AA BATTERIES IN PACK EXPLODED, CAUSING EXTENS	IVE CORROSION ON TERMINAL END OF PACK. R&R EMERGENCY BATTERY PACK								1 	3O			NT	A47CE   					 
	20230227			2023	2	27	2023FA0000102    	1	20230227	G	2560	D30665915	SLIDE           																	SLIDE IN DOOR	LEAKING         	B				O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			SW	99	Z5KY 									ESCAPE SLIDE HAD MULTIPLE SEEM LEAKS AND PATCH DE-BONDING DURING ROUTINE MAINTENANCE AT PRESSURE TESTS PHASE. SLIDE WAS 	MANUFACTURED IN FEB/2020.																		 
	20230302		CE  	2023	3	2	2023FA0000103    	1	20230301	G	5743		NONE            			CESSNA	680   	680A        	2076813	CE  											NONE            	B				O				OTHER                   				O			OTHER                     			TX	TAXI/GRND HDL  	1			CE	07	694QS					0226				IMPACT DAMAGE - L/H WING, UPPER AND LOWER SKINS, TRAILING EDGE, CWS 320 - WS 369. REFERENCE FR-680A-0226-10757 AND FAA F	ORM 8100-9 DATED 06JUL2022. REFERENCE TEXTRON AVIATION LETTER DQ34743M1, 680A-0226 (N694QS)LEFT WING LOWER SKIN DIS-BOND	 (FR-680A-0226-10757) DATED 18AUG2022.							2 	4F			RC	T00012WI					 
	20230302			2023	3	2	2023FA0000104    	2	20230301	G	7311	121535	FUEL/OIL COOLER 	WILINT      	FJ443A      	CESSNA	525   	525B        	2076616	CE  										ZONE 400	FAILED          	E				C				ABORTED TAKEOFF         				J			WARNING INDICATION        			TO	TAKEOFF        	1			WP	19	80VM 	5417 	5417 		141887	525B0455				WE HAVE HAD MULTIPLE ABORTED TAKE-OFFS FOR "FUEL BOOST ON" CAS MESSAGE DISPLAYED ON BOTH ENGINES WITH OTHER INSTANCES ON	 OUR OTHER 525B'S. ALL DEFECTS HAVE BEEN TRACED TO OIL/FUEL HEAT EXCHANGER BECOMING BLOCKED WITH DEBRIS. RESULTING IN TH	E COMPONENT BEING REPLACED.							2 	4F			RT	A1WI    					 
	20230302		WP  	2023	3	2	2023FA0000105    	1	20230302	G	2730		TRIM SYSTEM     			SMITH 	360   	360         		WP  										ZONE 300	FROZEN          	P				A	B	O		UNSCHED LANDING         	EMER. DESCENT           	OTHER                   		F			FLT CONT AFFECTED         			CL	CLIMB          	1			SW	99	355GB					FL1273				THIS IS A KING AIR 360 (N355GB)  -  AIRCRAFT DEPARTED KPDX ON 1/18/23 AT ROUGHLY 12:30 LOCAL WITH 8 PAX.IT WAS RAINING	 AT THE FIELD AND THE TEMPERATURE WAS 6 DEGREES AT TOOK OFF.  (PILOT KNEW THIS FOR SURE BECAUSE HE TURNED ON ENGINE ANTI	-ICE AND PROP DEICE PRIOR TO TAKE-OFF IN ANTICIPATION OF THEM BEING IN 5 DEGREE TEMPERATURE SHORTLY AFTER LIFTOFF.CRUI	SING ALTITUDE WAS TO BE FL290 AND CREW RECEIVED A CONTINUOUS CLIMB ALL THE WAY UP.  THEY NEVER LEVELED OFF AT AN INTERME	DIATE ALTITUDE.  (THIS MAY HAVE CONTRIBUTED TO POSSIBLE ICING PROBLEMS INSIDE THE HORIZONTAL STABILIZER, IF THAT WAS THE	 CAUSE OF ALL OF THIS.)CLIMB SPEED VARIED SOMEWHAT, BUT NEVER WENT BELOW MINIMUM ICING SPEED OF 140KTS.SHORTLY AFTER				2 	3O				A11WE   					 
	20230302		SW  	2023	3	2	2023FA0000106    	1	20230302	G	6210	234RS2022	BEARING         	BOEING      	NA          	BELL  	47    	47D         	1180702	SW  	HNYWL 	T55   	T55GA714A   	33886	NE  					ZONE 200	DEBONDED        	B				K				NONE                    				O			OTHER                     			AG	AGRICULTURE    	1			WP	11	47CU 				VY1935	920299				ELASTOMERIC FEATURE OF ROD-END BEARING FAILED CAUSING LATERAL PLAY OF BEARING AND PROTRUDING SHIMS DAMAGED BLADE LAG DAM	PER LUG.								1 	3O	4			H1      					 
	20230303		CE  	2023	3	3	2023FA0000107    	1	20230303	G	7400	10400507	CONTACTOR       	CONT        	S6LSC25T    	CESSNA	337   	337D        	2075717	CE  	CONT  	O360  	IO360C      	17025	SO  					MAGNETO	DEFECTIVE       	D				K				NONE                    				S			AFFECT SYSTEMS            			CR	CRUISE         	1			SW	99	337NE	15   	15   			3370997	MULTIPLE			TACHOMETER BREAKER POINTS ARE FAILING PREMATURELY DUE TO DEFECTIVE MATERIALS OR PROCESSES. POINTS ARE FAILING WITHIN 5-1	0 HOURS WHICH CAUSES ERRATIC TACHOMETER INDICATIONS AND COULD POTENTIALLY PRESENT A HAZARD IF THE POINTS WERE TO BREAK L	OOSE WITHIN THE MAGNETO. WE HAVE HAD THREE INSTANCES OF THIS FAILURE ON THREE MAGNETOS IN A ROW. CONTACT ASSEMBLY (TACHO	METER) 10-400507. INSPECTION REVEALS TACHOMETER POINTS WERE INSTALLED AND TIMED CORRECTLY BUT THE POINT SWAGE FAILED RES	ULTING IN THE POINT BEING ALLOWED TO MOVE WITHIN ITS MOUNTING ARM, CONTINUED OPERATION WOULD LEAD TO THE POINT DEPARTING	 ITS ARM AND BEING RELEASED WITHIN THE MAGNETO.				2 	3O	3	O		A6CE    	E1CE				 
	20230306		NM  	2023	3	6	2023FA0000108    	1	20230305	G	5400		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				FOUND WELDING REPAIR BETWEEN 2-8 O'CLOCK ON ENGINE #2 EXHAUST NOZZLE OUTER SLEEV OUTER SKIN.									2 	4F			RT	A1NM    					 
	20230306		NM  	2023	3	6	2023FA0000109    	1	20230305	G	5400		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				FOUND MULTIPLE WELDING REPAIRS ON ENGINE #1 BETWEEN 2-6 O'CLOCK ON EXHAUST OUTER FACE SHEET.									2 	4F			RT	A1NM    					 
	20230306		NM  	2023	3	6	2023FA0000110    	1	20230305	G	5400		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				FOUND MULTIPLE WELDING REPAIRS ON ENGINE #1 BETWEEN 2-6 O'CLOCK ON EXHAUST OUTER FACE SHEET.									2 	4F			RT	A1NM    					 
	20230306		NM  	2023	3	6	2023FA0000111    	1	20230305	G	5300		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				FOUND EXISTING UNDOCUMENTED ROUND FLUSH REPAIR ADJACENT TO LAP JOINT AND BUTT JOINT, FOUND INNER DOUBLER IN BAD CONDITIO	N AND FILLER MISSING ON FUSELAGE SKIN, STA 1725 TO STA 1767, STR 34L TO STR 36L.								2 	4F			RT	A1NM    					 
	20230306		NM  	2023	3	6	2023FA0000112    	1	20230305	G	5412		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				FOUND MULTIPLE DENTS BETWEEN 5-7 O'CLOCK ON ENGINE #2 INLET COWL ACOUSTIC PANEL.									2 	4F			RT	A1NM    					 
	20230306		NM  	2023	3	6	2023FA0000113    	1	20230305	G	5100		NONE            			BOEING	767   	767332      	1382001	NM  											NONE            	B				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	571AZ					30388				L/H WING, SPOILER #6 - LARGE EDGE DELAMINATION ON OUTBD FWD CORNER.									2 	4F			RT	A1NM    					 
